annual-change-primary-energy-source,,,,,,,,,,
Entity,Code,Year,Solar (TWh growth - equivalent),Coal (TWh growth),Gas (TWh growth),Other renewables (TWh growth - equivalent),Nuclear (TWh growth - equivalent),Hydro (TWh growth - equivalent),Wind (TWh growth - equivalent),Oil (TWh growth)
Africa,,1972,0,1.1985168,6.265394,0.003192246,0,10.703728,0,36.424225
Africa,,1973,0,24.699493,14.881136,0.01596111,0,5.063881,0,39.07434
Africa,,1974,0,16.73587,4.966694,0.015961051,0,12.778229,0,19.93457
Africa,,1975,0,25.434296,9.119892,-0.009576619,0,6.0644836,0,27.932495
Africa,,1976,0,29.993652,7.343014,0.0414986,0,12.063507,0,54.914185
Africa,,1977,0,10.624329,7.2528,0.012768924,0,12.2157135,0,42.609985
Africa,,1978,0,-13.882874,29.135704,0.019152999,0,1.1182709,0,37.170837
Africa,,1979,0,29.431396,51.472908,0.019153357,0,9.634735,0,38.808655
Africa,,1980,0,36.31009,38.071167,0.019153297,0,-3.7064362,0,46.97986
Africa,,1981,0,92.2417,41.57718,0.03511417,0,5.562454,0,67.338135
Africa,,1982,0,65.377075,18.242386,0.05745977,0,0.03942871,0,41.039307
Africa,,1983,0,12.07019,24.541794,-0.019153357,0,-14.66394,0,38.17224
Africa,,1984,0,49.651855,-11.372559,0.012768865,11.137245,-2.2389984,0,17.33197
Africa,,1985,0,24.267944,18.939972,0.1117273,3.9441462,14.665817,0,25.287903
Africa,,1986,0,18.190186,34.428436,1.1144338,9.897252,5.0141296,0,-22.867737
Africa,,1987,0,22.963684,10.11319,0,-7.4796886,-6.176895,0,54.1037
Africa,,1988,0,61.841064,35.06015,-0.089381695,12.275087,13.415848,0,43.2312
Africa,,1989,0,-54.539917,13.02652,-0.028730035,1.7195339,7.9328766,0,35.764404
Africa,,1990,0,42.057373,27.174316,0.6014646,-7.519413,2.8932495,0,18.18396
Africa,,1991,0,-23.916077,2.9902344,0.061353922,1.9720726,10.044403,0,5.9315186
Africa,,1992,0,5.069031,19.634674,0.11165261,0.40860367,-8.253525,0,22.268555
Africa,,1993,0,12.882751,-8.626312,0.30461717,-5.768669,-3.4827118,0.005913972,11.944946
Africa,,1994,0,22.733887,19.18399,-0.32386303,6.9292107,2.7013397,0.010053777,38.08362
Africa,,1995,0,28.023438,29.415558,0.5344877,4.5513725,6.4250336,0.002661279,41.90625
Africa,,1996,0,12.757019,22.948242,0.76306295,1.344986,7.5331573,0.002365584,27.324463
Africa,,1997,0,23.790771,-9.716217,0.41994572,2.4743118,4.542038,0.000295721,40.43225
Africa,,1998,0,-21.980103,24.86145,1.0287037,2.7069855,8.286652,0.001182778,31.325317
Africa,,1999,0,28.97174,4.6826477,-0.041412354,-2.1678581,11.914825,0.0360753,49.512207
Africa,,2000,0.035309397,-2.2802124,52.802704,1.9170327,0.4908905,13.518036,0.46040323,3.5252686
Africa,,2001,0.008639861,12.19574,77.81378,0.2049079,-6.6982517,15.045685,0.7019341,14.900635
Africa,,2002,0.005086381,-41.504578,35.999878,-0.11184597,3.367796,10.601868,0.07386255,33.89453
Africa,,2003,0.009138744,82.62677,40.900024,0.9269309,1.6548462,-8.701614,0.2585554,44.318115
Africa,,2004,0.012618747,102.11334,71.569824,1.0508356,1.7170639,11.859573,0.6606133,70.23193
Africa,,2005,0.013343968,-80.08911,24.922058,0.09369564,-5.9284706,3.0430145,0.020639658,69.74695
Africa,,2006,0.023737952,15.024292,35.71985,2.4129944,-3.653675,7.538498,0.19133711,16.026245
Africa,,2007,0.03486149,17.536377,56.66681,-2.006836,3.331871,7.2677917,0.4476006,62.845215
Africa,,2008,0.061425164,109.0918,35.088135,0.3690691,4.3582993,3.2980347,0.81267786,86.8208
Africa,,2009,0.06344047,-4.7231445,5.735718,0.80212975,-0.7470665,5.5621033,0.7520921,64.246216
Africa,,2010,0.33206674,-10.266113,40.181458,0.5188303,1.7097931,20.828674,1.9027743,79.02417
Africa,,2011,1.0612874,-17.805908,80.17352,0.59623146,-1.8741798,6.597107,0.24250174,-33.7157
Africa,,2012,1.0608509,-28.64746,86.14197,0.43175793,-0.034828186,-0.54504395,0.31415558,120.34619
Africa,,2013,-0.57061553,12.132324,22.883911,1.0450354,2.7721481,15.329193,2.895949,74.1322
Africa,,2014,3.0123224,52.885742,32.790527,2.4966202,-1.03199,16.138428,3.914587,21.719482
Africa,,2015,4.55931,-63.841797,123.27734,4.0577927,-4.236994,-12.361847,10.287999,59.723877
Africa,,2016,4.51668,65.98047,44.80139,0.3149414,6.9774723,-11.306946,5.923332,15.451904
Africa,,2017,4.270237,-1.0889893,78.5708,1.3437214,-2.3543396,20.66278,6.3072357,25.97461
Africa,,2018,3.6683102,-20.647827,94.41284,1.3447914,-6.8459225,20.634705,2.831913,22.305908
Africa,,2019,7.169409,65.9657,7.0615234,0.40575027,4.1208744,10.723816,11.767506,18.943115
Africa,,2020,10.807444,-52.122925,-14.605103,-1.0446033,-8.563208,23.562317,-0.6490631,-250.38354
Africa,,2021,6.6986275,-18.750854,147.77637,-0.02379036,6.0655117,10.353241,9.4314995,183.73608
Africa,,2022,0.54798126,-56.21643,-59.666748,1.46348,-5.7546806,9.930969,2.6856575,121.323975
Africa,,1966,,-0.3739624,1.1261616,,0,4.7441025,0,28.316315
Africa,,1967,,7.1693726,-0.12424564,,0,2.0126228,0,-1.2564697
Africa,,1968,,13.221344,0.14330006,,0,8.124931,0,21.17215
Africa,,1969,,3.1299744,1.80303,,0,9.351627,0,7.787567
Africa,,1970,,14.114014,3.028325,,0,16.350777,0,36.87378
Africa,,1971,,22.255402,2.856762,,0,-4.781563,0,39.27835
Africa (EI),,1972,0,1.1985168,6.2653923,0.003192246,0,10.703728,0,36.424255
Africa (EI),,1973,0,24.699524,14.881136,0.01596111,0,5.0638733,0,39.0744
Africa (EI),,1974,0,16.73587,4.966694,0.015961051,0,12.778236,0,19.93451
Africa (EI),,1975,0,25.434265,9.119888,-0.009576619,0,6.064476,0,27.932556
Africa (EI),,1976,0,29.993683,7.3430176,0.0414986,0,12.063515,0,54.914124
Africa (EI),,1977,0,10.624268,7.2528,0.012768924,0,12.215721,0,42.609985
Africa (EI),,1978,0,-13.882843,29.135704,0.019152999,0,1.1182556,0,37.170837
Africa (EI),,1979,0,29.431396,51.472908,0.019153357,0,9.634735,0,38.808655
Africa (EI),,1980,0,36.31009,38.071167,0.019153297,0,-3.7064362,0,46.97986
Africa (EI),,1981,0,92.2417,41.57718,0.03511417,0,5.562454,0,67.338135
Africa (EI),,1982,0,65.377075,18.242386,0.05745977,0,0.03942871,0,41.039246
Africa (EI),,1983,0,12.07019,24.541794,-0.019153357,0,-14.66394,0,38.172302
Africa (EI),,1984,0,49.651794,-11.372559,0.012768865,11.137245,-2.2389984,0,17.332031
Africa (EI),,1985,0,24.268066,18.939972,0.1117273,3.9441462,14.665817,0,25.287842
Africa (EI),,1986,0,18.190125,34.428467,1.1144338,9.897252,5.0141296,0,-22.867737
Africa (EI),,1987,0,22.963684,10.113159,0,-7.4796886,-6.176895,0,54.1037
Africa (EI),,1988,0,61.841064,35.06018,-0.089381695,12.275087,13.415848,0,43.23108
Africa (EI),,1989,0,-54.539917,13.026489,-0.028730035,1.7195339,7.932892,0,35.764526
Africa (EI),,1990,0,42.057373,27.174347,0.6014646,-7.519413,2.8932495,0,18.184082
Africa (EI),,1991,0,-23.916077,2.9902039,0.061353922,1.9720726,10.044388,0,5.9313965
Africa (EI),,1992,0,5.0689697,19.634674,0.11165261,0.40860367,-8.253525,0,22.268555
Africa (EI),,1993,0,12.8828125,-8.626282,0.30461717,-5.768669,-3.4827118,0.005913972,11.944946
Africa (EI),,1994,0,22.733887,19.18393,-0.32386303,6.9292107,2.7013397,0.010053777,38.08362
Africa (EI),,1995,0,28.023438,29.415558,0.5344877,4.5513725,6.4250336,0.002661279,41.906372
Africa (EI),,1996,0,12.757019,22.948273,0.76306295,1.344986,7.5331573,0.002365584,27.32434
Africa (EI),,1997,0,23.790833,-9.716217,0.41994524,2.4743118,4.5420685,0.000295721,40.43225
Africa (EI),,1998,0,-21.980164,24.86145,1.0287046,2.7069855,8.286636,0.001182778,31.325195
Africa (EI),,1999,0,28.97174,4.682617,-0.04141283,-2.1678581,11.914795,0.03607522,49.51233
Africa (EI),,2000,0.035309445,-2.2801514,52.802734,1.9170327,0.4908905,13.518051,0.46040332,3.5252686
Africa (EI),,2001,0.008639999,12.195679,77.81378,0.20490742,-6.6982517,15.04567,0.7019342,14.900635
Africa (EI),,2002,0.005086113,-41.50464,35.999878,-0.11184549,3.367796,10.601883,0.07386243,33.89453
Africa (EI),,2003,0.00913889,82.62683,40.900085,0.9269309,1.6548462,-8.701599,0.2585553,44.318115
Africa (EI),,2004,0.012618884,102.113464,71.569824,1.0508356,1.7170639,11.859543,0.6606134,70.23193
Africa (EI),,2005,0.01334361,-80.08923,24.922058,0.09369564,-5.9284706,3.043045,0.020639896,69.74707
